device_id,type,type_specific,size_inch,size_cm2,screen_body_ratio,resolution_pixel,resolution_p_width,resolution_p_lenght,resolution_ppi,resolution_ratio
4201,IPS,IPS LCD,4.0,45.5,60.9,480 x 800,480.0,800.0,233.0,5:3
4140,IPS,IPS LCD,4.0,45.5,57.0,480 x 800,480.0,800.0,233.0,5:3
4157,TFT,TFT,3.5,36.5,52.9,320 x 480,320.0,480.0,165.0,3:2
4067,OLED,OLED,3.8,41.1,53.7,480 x 800,480.0,800.0,246.0,5:3
4309,TFT,TFT,3.2,30.5,45.3,320 x 480,320.0,480.0,180.0,3:2
4043,TFT,TFT,3.2,30.5,45.5,320 x 480,320.0,480.0,180.0,3:2
4289,TFT,TFT,4.3,52.6,61.4,480 x 800,480.0,800.0,217.0,5:3
4287,IPS,IPS LCD,4.0,45.5,58.3,480 x 800,480.0,800.0,233.0,5:3
4037,IPS,IPS LCD,4.0,45.5,58.3,480 x 800,480.0,800.0,233.0,5:3
4040,TFT,TFT,2.8,24.3,34.0,240 x 320,240.0,320.0,143.0,4:3
3886,LCD,3D LCD,4.3,52.6,60.1,480 x 800,480.0,800.0,217.0,5:3
3759,LCD,3D LCD,4.3,52.6,60.1,480 x 800,480.0,800.0,217.0,5:3
3704,IPS,IPS LCD,4.0,45.5,58.3,480 x 800,480.0,800.0,233.0,5:3
3762,IPS,IPS LCD,4.0,45.5,58.2,480 x 800,480.0,800.0,233.0,5:3
3598,IPS,IPS LCD,4.0,45.5,58.2,480 x 800,480.0,800.0,233.0,5:3
3731,TFT,TFT,3.2,29.1,44.6,480 x 800,480.0,800.0,292.0,5:3
3558,TFT,TFT,3.5,34.9,49.0,480 x 800,480.0,800.0,267.0,5:3
3532,TFT,TFT,3.8,41.1,55.0,480 x 800,480.0,800.0,246.0,5:3
3516,TFT,TFT,3.2,30.5,45.5,320 x 480,320.0,480.0,180.0,3:2
3081,TFT,TFT,3.0,26.8,45.1,320 x 480,320.0,480.0,192.0,3:2
12471,IPS,IPS LCD,6.56,103.4,82.7,720 x 1612,720.0,1612.0,269.0,20:9
12381,IPS,IPS LCD,6.56,103.4,82.7,720 x 1612,720.0,1612.0,269.0,20:9
12321,IPS,IPS LCD,6.3,97.4,81.9,720 x 1560,720.0,1560.0,273.0,5:9
12244,IPS,IPS LCD,6.49,101.7,77.0,1080 x 2400,1080.0,2400.0,406.0,20:9
12184,IPS,IPS LCD,6.3,95.8,80.3,720 x 1600,720.0,1600.0,278.0,20:9
12139,IPS,IPS LCD,6.5,102.0,81.6,720 x 1600,720.0,1600.0,270.0,20:9
12137,IPS,IPS LCD,6.5,102.0,81.1,720 x 1600,720.0,1600.0,270.0,20:9
12085,IPS,IPS LCD,6.3,95.8,80.3,720 x 1600,720.0,1600.0,278.0,20:9
11831,AMOLED,AMOLED,6.43,99.8,85.0,1080 x 2400,1080.0,2400.0,409.0,20:9
11826,IPS,IPS LCD,6.58,104.3,82.8,1080 x 2408,1080.0,2408.0,401.0,20:9
11825,IPS,IPS LCD,6.75,110.0,83.4,720 x 1600,720.0,1600.0,260.0,20:9
11669,IPS,IPS LCD,8.0,185.6,72.4,800 x 1280,800.0,1280.0,189.0,16:10
11644,IPS,IPS LCD,6.52,102.6,82.1,720 x 1600,720.0,1600.0,269.0,20:9
11629,IPS,IPS LCD,6.09,91.0,79.6,720 x 1560,720.0,1560.0,282.0,5:9
11381,IPS,IPS LCD,6.52,102.6,82.1,720 x 1600,720.0,1600.0,269.0,20:9
11380,IPS,IPS LCD,6.52,102.6,77.5,720 x 1600,720.0,1600.0,269.0,20:9
11382,IPS,IPS LCD,5.7,83.8,71.7,480 x 960,480.0,960.0,188.0,18:9
