device_id,s_num
10744,Dual
10585,Dual
10586,Dual
10564,Dual
10464,Dual
10558,Dual
10463,Dual
10459,Dual
10597,Dual
10368,Dual
10451,unspecified
10382,Dual
10090,Dual
10088,Single
10088,Dual
10087,Single
10087,Dual
10086,Single
10086,Dual
9906,Single
9906,Dual
9844,Single
9844,Dual
9827,Single
9827,Dual
9828,Dual
9805,Single
9805,Dual
9804,Single
9804,Dual
9753,Dual
9752,Single
9752,Dual
9751,Single
9751,Dual
9758,unspecified
9607,Single
9607,Dual
9540,Single
9540,Dual
9585,Single
9585,Dual
9586,Single
9586,Dual
9587,Single
9587,Dual
9411,Single
9411,Dual
9300,Single
9300,Dual
9544,unspecified
9309,Dual
9305,Single
9305,Dual
9304,Single
9304,Dual
9285,Single
9285,Dual
9278,Single
9278,Dual
9251,unspecified
9228,Single
9228,Dual
9191,unspecified
9206,Single
9206,Dual
9115,Single
9115,Dual
9090,Single
9090,Dual
9122,unspecified
10072,unspecified
9190,unspecified
9074,Single
9074,Dual
9073,Single
9073,Dual
9047,unspecified
9006,Dual
8712,Single
8712,Dual
8781,Single
8781,Dual
8756,Single
8756,Dual
8780,unspecified
8696,unspecified
8466,Single
8466,Dual
8584,Single
8584,Dual
8694,unspecified
8492,Single
8492,Dual
8679,unspecified
8678,unspecified
8491,Single
8491,Dual
8490,Single
8490,Dual
8817,Single
8817,Dual
8489,Single
8489,Dual
8488,Single
8488,Dual
8238,Single
8238,Dual
8184,unspecified
8183,unspecified
8159,unspecified
8158,Single
8158,Dual
8081,unspecified
8133,Single
8133,Dual
8132,Single
8132,Dual
8079,Single
8079,Dual
8085,unspecified
7980,Single
7980,Dual
8269,Single
8269,Dual
8056,Single
8056,Dual
7815,Single
7815,Dual
7977,Dual
7976,Single
7976,Dual
7927,Single
7927,Dual
7926,Single
7926,Dual
7849,Single
7849,Dual
7848,Single
7848,Dual
7883,Single
7883,Dual
7773,Single
7773,Dual
7675,unspecified
7606,Single
7606,Dual
7556,unspecified
7575,unspecified
7496,unspecified
7451,unspecified
7442,unspecified
7437,Single
7437,Dual
7363,Single
7363,Dual
7250,unspecified
7253,Dual
7245,unspecified
7212,Dual
7148,unspecified
7051,Dual
7052,Single
7052,Dual
7053,Single
7053,Dual
7054,unspecified
6916,unspecified
6812,unspecified
6776,Dual
6764,Dual
6750,unspecified
6709,Single
6709,Dual
6606,unspecified
6555,Dual
6593,Single
6593,Dual
6592,Single
6592,Dual
6575,unspecified
6569,unspecified
6562,unspecified
6554,unspecified
6546,unspecified
6545,unspecified
6520,unspecified
6475,unspecified
6315,unspecified
6572,unspecified
6294,unspecified
6357,unspecified
6353,unspecified
6352,unspecified
7038,unspecified
6326,unspecified
6307,Dual
6173,unspecified
6133,unspecified
6118,unspecified
6117,unspecified
6077,Single
6077,Dual
6171,Dual
6100,unspecified
6285,unspecified
6101,Dual
6286,unspecified
6102,Single
6102,Dual
6052,unspecified
6032,unspecified
5998,unspecified
5901,unspecified
5705,unspecified
5806,unspecified
5772,unspecified
5736,Dual
5750,Dual
5673,unspecified
5543,unspecified
5650,unspecified
5649,unspecified
5602,unspecified
5488,Dual
5487,unspecified
5554,unspecified
5509,unspecified
5390,unspecified
5315,unspecified
5722,unspecified
5316,unspecified
5254,unspecified
5372,Dual
5275,unspecified
5373,Dual
5293,unspecified
5389,Dual
5292,unspecified
5608,unspecified
5048,unspecified
5078,unspecified
5032,unspecified
5025,unspecified
5062,unspecified
4751,unspecified
4941,unspecified
5005,unspecified
4982,unspecified
4981,unspecified
4964,Dual
4955,unspecified
4948,unspecified
4932,unspecified
4835,Dual
4749,unspecified
4739,unspecified
4717,unspecified
4653,unspecified
4649,unspecified
4563,unspecified
4562,unspecified
4545,unspecified
4565,unspecified
4571,unspecified
4554,unspecified
4461,unspecified
4430,unspecified
4416,unspecified
4377,unspecified
4064,unspecified
4329,unspecified
4353,unspecified
4257,unspecified
4213,unspecified
4188,unspecified
4201,unspecified
4140,unspecified
4157,unspecified
4067,unspecified
4309,Dual
4043,unspecified
4289,unspecified
4287,unspecified
4037,unspecified
4040,unspecified
3886,unspecified
3759,unspecified
3704,unspecified
3762,unspecified
3598,unspecified
3731,unspecified
3558,unspecified
3532,unspecified
3516,unspecified
3081,unspecified
12471,unspecified
12381,Single
12381,Dual
12321,Single
12244,Single
12244,Dual
12184,Dual
12139,Single
12139,Dual
12137,Single
12085,Dual
11831,Dual
11826,Dual
11825,Dual
11669,unspecified
11644,Single
11644,Dual
11629,unspecified
11381,Single
11381,Dual
11380,Single
11380,Dual
11382,Single
11382,Dual
11358,Single
11358,Dual
11356,Single
11356,Dual
11207,unspecified
11135,unspecified
11077,Single
11077,Dual
11013,Single
11013,Dual
10967,Dual
11019,Dual
10959,Single
10959,Dual
10955,Dual
10838,Single
10838,Dual
10840,Single
10840,Dual
10841,Single
10841,Dual
10842,Single
10842,Dual
10843,Single
10843,Dual
10844,Dual
10700,Single
10700,Dual
10624,Single
10624,Dual
10584,Single
10584,Dual
10588,unspecified
10547,unspecified
10404,Single
10404,Dual
10460,Dual
10351,Dual
10273,unspecified
10275,unspecified
10274,unspecified
10142,Single
10142,Dual
10117,Single
10117,Dual
10143,Single
10143,Dual
9993,Dual
9988,Single
9988,Dual
9833,Single
9833,Dual
9834,Single
9834,Dual
9731,Single
9731,Dual
9652,Dual
8867,Single
8867,Dual
9603,Dual
10619,unspecified
9604,Dual
9538,Dual
9342,Dual
9364,Dual
9354,Single
9354,Dual
9178,Dual
9246,Dual
9214,Dual
9215,Dual
9216,Dual
9087,Single
9087,Dual
9058,Dual
8972,Dual
9052,Dual
8513,Single
8513,Dual
8907,Dual
8522,Single
8522,Dual
8572,Single
8572,Dual
8571,Single
8571,Dual
6885,Dual
6877,unspecified
6814,unspecified
6640,Dual
6639,unspecified
6638,unspecified
6524,Dual
6523,unspecified
6383,Dual
6227,unspecified
6254,unspecified
6255,Dual
6232,unspecified
6148,Single
6148,Dual
6147,Single
6147,Dual
6067,Single
6067,Dual
5833,unspecified
5869,unspecified
5760,unspecified
5791,unspecified
5438,unspecified
5506,unspecified
5451,unspecified
5437,unspecified
5321,unspecified
5322,unspecified
5150,unspecified
5147,unspecified
5090,unspecified
5069,unspecified
5024,unspecified
4967,unspecified
4968,unspecified
4695,unspecified
4662,unspecified
4576,unspecified
4578,unspecified
4275,unspecified
4240,unspecified
4372,unspecified
4276,unspecified
4220,unspecified
4223,unspecified
4222,unspecified
3398,unspecified
3885,unspecified
3578,unspecified
3545,unspecified
3524,unspecified
3394,unspecified
3397,unspecified
3390,unspecified
3252,unspecified
3109,unspecified
12773,Dual
12784,Dual
12785,Dual
12616,unspecified
12520,Single
12520,Dual
12584,Single
12584,Dual
12189,Dual
12074,Single
12074,Dual
12024,Dual
12083,Dual
12082,Dual
12151,Single
12151,Dual
12004,Single
12004,Dual
11945,Single
11945,Dual
11803,Dual
11736,Single
11736,Dual
11665,Single
11665,Dual
11600,Single
11600,Dual
11564,Dual
11439,Dual
11459,Dual
11268,Single
11268,Dual
11429,Single
11429,Dual
11403,Single
11403,Dual
11373,Single
11373,Dual
11402,Single
11402,Dual
10954,Single
10954,Dual
11149,unspecified
11244,Single
11244,Dual
11215,Single
11215,Dual
11124,Dual
11110,Dual
11011,Dual
11062,Dual
10937,Dual
11039,Single
11039,Dual
11087,Single
11087,Dual
11041,Single
11041,Dual
11015,Dual
10996,Dual
10873,Single
10873,Dual
10948,Single
10948,Dual
10900,Dual
10848,Dual
10860,Dual
10850,unspecified
10825,Dual
10824,Dual
10469,Single
10469,Dual
10631,Single
10631,Dual
10641,Single
10641,Dual
10718,Single
10718,Dual
10753,Single
10753,Dual
10740,Dual
10578,Dual
10648,Single
10648,Dual
10663,Single
10663,Dual
10604,Single
10604,Dual
10709,Single
10709,Dual
10708,Single
10708,Dual
10603,Single
10603,Dual
10580,Single
10580,Dual
10496,Dual
10498,Dual
10377,Single
10377,Dual
10428,Single
10428,Dual
10412,Single
10412,Dual
10148,Dual
10371,unspecified
10261,Dual
10355,Dual
10338,Dual
10333,Single
10333,Dual
10335,Dual
10316,Single
10316,Dual
10314,Single
10314,Dual
10216,Dual
10239,Single
10239,Dual
10208,Dual
10243,unspecified
10157,Single
10157,Dual
10483,unspecified
10124,Dual
10149,Single
10149,Dual
10138,Single
10138,Dual
10111,Single
10111,Dual
10132,Single
10132,Dual
10079,Dual
10040,Dual
10084,Dual
10041,Dual
10080,Dual
10254,unspecified
10044,Dual
10081,Dual
10004,unspecified
10001,Single
10001,Dual
10003,Single
10003,Dual
9917,Single
9917,Dual
9999,Single
9999,Dual
9995,Single
9995,Dual
9963,Single
9963,Dual
9937,Single
9937,Dual
9899,Single
9899,Dual
9852,Single
9852,Dual
9818,Dual
9861,Dual
9795,Single
9795,Dual
9796,Single
9796,Dual
9806,Single
9806,Dual
9787,unspecified
9732,Single
9732,Dual
9789,unspecified
9788,Single
9788,Dual
9793,Single
9793,Dual
9790,unspecified
9781,unspecified
9730,Single
9730,Dual
9636,Single
9636,Dual
9588,Single
9588,Dual
9536,Single
9536,Dual
9537,Single
9537,Dual
9721,Dual
9505,Dual
9506,Dual
9508,Dual
9659,Single
9659,Dual
9646,Single
9646,Dual
9616,Single
9616,Dual
9554,Single
9554,Dual
9642,Single
9642,Dual
9579,Single
9579,Dual
9661,Single
9661,Dual
9640,Single
9640,Dual
9580,Single
9580,Dual
9581,unspecified
9665,unspecified
9432,Dual
9352,Dual
9344,Dual
9340,Single
9340,Dual
9163,Single
9163,Dual
9334,Single
9334,Dual
9397,Dual
9335,Dual
9255,Dual
9260,Dual
9234,unspecified
8928,unspecified
9220,Dual
9202,Dual
9205,Dual
9203,Dual
9204,Dual
9156,Single
9156,Dual
9155,Single
9155,Dual
9153,Single
9153,Dual
9135,Single
9135,Dual
8967,Single
8967,Dual
8966,Single
