device_id,sound
9162,Loudspeaker
9141,0.0
9141,Loudspeaker
9106,0.0
9106,Loudspeaker
9107,0.0
9107,Loudspeaker
9098,Jack
9098,Loudspeaker
9188,Jack
9188,Loudspeaker
9114,Jack
9114,Loudspeaker
9265,Jack
9265,Loudspeaker
9112,Jack
9112,Loudspeaker
9092,0.0
9092,Loudspeaker
8961,Jack
8961,Loudspeaker
8943,Jack
8943,Loudspeaker
8899,0.0
8899,Loudspeaker
8854,0.0
8854,Loudspeaker
8877,Jack
8877,Loudspeaker
8857,Jack
8857,Loudspeaker
8833,Jack
8833,Loudspeaker
8632,Jack
8632,Loudspeaker
8715,Jack
8715,Loudspeaker
8637,Jack
8637,Loudspeaker
8703,Jack
8703,Loudspeaker
8672,Jack
8672,Loudspeaker
8663,Jack
8663,Loudspeaker
8578,Jack
8578,Loudspeaker
8635,Jack
8635,Loudspeaker
8687,Jack
8687,Loudspeaker
8695,Jack
8695,Loudspeaker
8640,Jack
8640,Loudspeaker
8686,Jack
8686,Loudspeaker
8515,Jack
8515,Loudspeaker
8514,Jack
8514,Loudspeaker
8598,Jack
8598,Loudspeaker
8516,Jack
8516,Loudspeaker
8458,Jack
8458,Loudspeaker
8396,Jack
8396,Loudspeaker
8415,Jack
8415,Loudspeaker
8073,Jack
8073,Loudspeaker
8402,Jack
8402,Loudspeaker
8315,Jack
8315,Loudspeaker
8312,Jack
8312,Loudspeaker
8284,Jack
8284,Loudspeaker
8302,Jack
8302,Loudspeaker
8301,Jack
8301,Loudspeaker
8285,Jack
8285,Loudspeaker
8138,Jack
8138,Loudspeaker
8084,Jack
8084,Loudspeaker
8037,Jack
8037,Loudspeaker
8036,Jack
8036,Loudspeaker
7983,Jack
7983,Loudspeaker
7745,Jack
7745,Loudspeaker
7972,Jack
7972,Loudspeaker
7793,Jack
7793,Loudspeaker
7239,Jack
7239,Loudspeaker
7744,Jack
7744,Loudspeaker
7647,Jack
7647,Loudspeaker
7588,Jack
7588,Loudspeaker
7533,Jack
7533,Loudspeaker
7440,Jack
7440,Loudspeaker
7309,Jack
7309,Loudspeaker
7829,Jack
7829,Loudspeaker
