device_id,body_dims_mm,body_lenght_mm,body_width_mm,body_height_mm,body_dims_inch,body_lenght_inch,body_width_inch,body_height_inch,body_weight_g,body_weight_oz
10842,164.9 x 76 x 9.2,164.9,76.0,9.2,6.49 x 2.99 x 0.36,6.49,2.99,0.36,194.0,6.84
10843,169.9 x 77.9 x 8.8,169.9,77.9,8.8,6.69 x 3.07 x 0.35,6.69,3.07,0.35,191.0,6.74
10844,169.9 x 77.9 x 8.8,169.9,77.9,8.8,6.69 x 3.07 x 0.35,6.69,3.07,0.35,191.0,6.74
10700,166.4 x 76.7 x 8.7,166.4,76.7,8.7,6.55 x 3.02 x 0.34,6.55,3.02,0.34,178.0,6.28
10624,161 x 76 x 8.7,161.0,76.0,8.7,6.34 x 2.99 x 0.34,6.34,2.99,0.34,181.0,6.38
10584,149.1 x 71.2 x 8.8,149.1,71.2,8.8,5.87 x 2.80 x 0.35,5.87,2.8,0.35,146.0,5.15
10588,171.9 x 78.6 x 9,171.9,78.6,9.0,6.77 x 3.09 x 0.35,6.77,3.09,0.35,230.0,8.11
10547,150.6 x 71.6 x 9.1,150.6,71.6,9.1,5.93 x 2.82 x 0.36,5.93,2.82,0.36,180.0,6.35
10404,161 x 76 x 8.7,161.0,76.0,8.7,6.34 x 2.99 x 0.34,6.34,2.99,0.34,180.0,6.35
10460,165.9 x 76.3 x 8.7,165.9,76.3,8.7,6.53 x 3.00 x 0.34,6.53,3.0,0.34,195.0,6.88
10351,159.9 x 77 x 8.7,159.9,77.0,8.7,6.30 x 3.03 x 0.34,6.3,3.03,0.34,184.5,6.53
10273,171.7 x 76.7 x 8.9,171.7,76.7,8.9,6.76 x 3.02 x 0.35,6.76,3.02,0.35,200.0,7.05
10275,150.6 x 72.4 x 9.1,150.6,72.4,9.1,5.93 x 2.85 x 0.36,5.93,2.85,0.36,180.0,6.35
10274,150.6 x 72.4 x 9.1,150.6,72.4,9.1,5.93 x 2.85 x 0.36,5.93,2.85,0.36,180.0,6.35
10142,171.9 x 78.6 x 9,171.9,78.6,9.0,6.77 x 3.09 x 0.35,6.77,3.09,0.35,220.0,7.76
10117,164.3 x 76.6 x 8.5,164.3,76.6,8.5,6.47 x 3.02 x 0.33,6.47,3.02,0.33,185.0,6.53
