Device_id,SIM Type,SIM Num
8269,Nano,Single
8269,Nano,Dual
8056,Nano,Single
8056,Nano,Dual
7815,Nano,Single
7815,Nano,Dual
7977,Nano,Dual
7976,Nano,Single
7976,Nano,Dual
7927,Nano,Single
7927,Nano,Dual
7926,Micro,Single
7926,Micro,Dual
7849,Nano,Single
7849,Nano,Dual
7848,Nano,Single
7848,Nano,Dual
7883,Micro,Single
7883,Micro,Dual
7773,Micro,Single
7773,Micro,Dual
7606,Nano,Single
7606,Nano,Dual
7437,Micro,Single
7437,Micro,Dual
7363,Micro,Single
7363,Micro,Dual
7212,Micro,Dual
7051,Micro,Dual
7052,Micro,Single
7052,Micro,Dual
7053,Micro,Single
7053,Micro,Dual
6764,Micro,Dual
6709,Micro,Single
6709,Micro,Dual
6555,Micro,Dual
6593,Micro,Single
6593,Micro,Dual
6592,Micro,Single
6592,Micro,Dual
6307,Mini,Dual
6077,Micro,Single
6077,Micro,Dual
6171,Mini,Dual
6101,Mini,Dual
6102,Mini,Single
6102,Mini,Dual
5736,Mini,Dual
5750,Mini,Dual
5373,Mini,Dual
5389,Mini,Dual
4964,Mini,Dual
4835,Mini,Dual
4309,Mini,Dual
12381,Nano,Single
12381,Nano,Dual
12321,Nano,Single
12244,Nano,Single
12244,Nano,Dual
12244,eSIM,Single
12244,eSIM,Dual
12184,Nano,Dual
12139,Nano,Single
12139,Nano,Dual
12137,Nano,Single
12085,Nano,Dual
11831,Nano,Dual
11831,eSIM,Dual
11826,Nano,Dual
11826,eSIM,Dual
11825,Nano,Dual
11644,Nano,Single
11644,Nano,Dual
11381,Nano,Single
11381,Nano,Dual
11380,Nano,Single
11380,Nano,Dual
11382,Nano,Single
11382,Nano,Dual
11358,Nano,Single
11358,Nano,Dual
11356,Nano,Single
11356,Nano,Dual
11077,Nano,Single
11077,Nano,Dual
11013,Nano,Single
11013,Nano,Dual
10967,Nano,Dual
11019,Nano,Dual
10959,Nano,Single
10959,Nano,Dual
10955,Nano,Dual
10838,Nano,Single
10838,Nano,Dual
10840,Nano,Single
10840,Nano,Dual
10841,Nano,Single
10841,Nano,Dual
10842,Nano,Single
10842,Nano,Dual
10843,Nano,Single
10843,Nano,Dual
10844,Nano,Dual
10700,Nano,Single
10700,Nano,Dual
10624,Nano,Single
10624,Nano,Dual
10584,Nano,Single
10584,Nano,Dual
10404,Nano,Single
10404,Nano,Dual
10460,Nano,Dual
10351,Nano,Dual
10142,Nano,Single
10142,Nano,Dual
10117,Nano,Single
10117,Nano,Dual
10143,Nano,Single
10143,Nano,Dual
9993,Nano,Dual
9988,Nano,Single
9988,Nano,Dual
9833,Nano,Single
9833,Nano,Dual
9834,Nano,Single
9834,Nano,Dual
9731,Nano,Single
9731,Nano,Dual
9652,Nano,Dual
8867,Nano,Single
8867,Nano,Dual
9603,Nano,Dual
9604,Nano,Dual
9538,Nano,Dual
9342,Nano,Dual
9364,Nano,Dual
9354,Nano,Single
9354,Nano,Dual
9178,Nano,Dual
9246,Nano,Dual
9214,Nano,Dual
9215,Nano,Dual
9216,Nano,Dual
9087,Nano,Single
9087,Nano,Dual
9058,Nano,Dual
8972,Nano,Dual
9052,Nano,Dual
9052,Micro,Dual
8513,Nano,Single
8513,Nano,Dual
8907,Nano,Dual
8522,Nano,Single
8522,Nano,Dual
8572,Nano,Single
8572,Nano,Dual
8571,Nano,Single
8571,Nano,Dual
6885,Nano,Dual
6640,Micro,Dual
6524,Micro,Dual
6383,Micro,Dual
6255,Micro,Dual
6148,Micro,Single
6148,Micro,Dual
6147,Micro,Single
6147,Micro,Dual
6067,Micro,Single
6067,Micro,Dual
12773,Nano,Dual
12773,eSIM,Dual
12784,Nano,Dual
12784,eSIM,Dual
12785,Nano,Dual
12785,eSIM,Dual
12520,Nano,Single
12520,Nano,Dual
12520,eSIM,Single
12520,eSIM,Dual
12584,Nano,Single
12584,Nano,Dual
12583,Nano,Single
12583,Nano,Dual
12189,Nano,Dual
12074,Nano,Single
12074,Nano,Dual
12024,Nano,Dual
12024,eSIM,Dual
12083,Nano,Dual
12083,eSIM,Dual
12082,Nano,Dual
12082,eSIM,Dual
12151,Nano,Single
12151,Nano,Dual
12004,Nano,Single
12004,Nano,Dual
11945,Nano,Single
11945,Nano,Dual
11803,Nano,Dual
11736,Nano,Single
11736,Nano,Dual
11633,Nano,Dual
11665,Nano,Single
11665,Nano,Dual
11600,Nano,Single
11600,Nano,Dual
11564,Nano,Dual
11439,Nano,Dual
11459,Nano,Dual
11268,Nano,Single
11268,Nano,Dual
11429,Nano,Single
11429,Nano,Dual
11403,Nano,Single
11403,Nano,Dual
11373,Nano,Single
11373,Nano,Dual
11402,Nano,Single
11402,Nano,Dual
10954,Nano,Single
10954,Nano,Dual
11244,Nano,Single
11244,Nano,Dual
11215,Nano,Single
11215,Nano,Dual
11124,Nano,Dual
11110,Nano,Dual
11062,Nano,Dual
10937,Nano,Dual
11039,Nano,Single
11039,Nano,Dual
11087,Nano,Single
11087,Nano,Dual
11041,Nano,Single
11041,Nano,Dual
11015,Nano,Dual
10996,Nano,Dual
10873,Nano,Single
10873,Nano,Dual
10948,Nano,Single
10948,Nano,Dual
10900,Nano,Dual
10848,Nano,Dual
10860,Nano,Dual
10825,Nano,Dual
10824,Nano,Dual
10469,Nano,Single
10469,Nano,Dual
10631,Nano,Single
10631,Nano,Dual
10641,Nano,Single
10641,Nano,Dual
10718,Nano,Single
10718,Nano,Dual
10753,Nano,Single
10753,Nano,Dual
10740,Nano,Dual
10578,Nano,Dual
10648,Nano,Single
10648,Nano,Dual
10663,Nano,Single
10663,Nano,Dual
10604,Nano,Single
10604,Nano,Dual
10709,Nano,Single
10709,Nano,Dual
10708,Nano,Single
10708,Nano,Dual
10603,Nano,Single
10603,Nano,Dual
10580,Nano,Single
10580,Nano,Dual
10496,Nano,Dual
10498,Nano,Dual
10377,Nano,Single
10377,Nano,Dual
10428,Nano,Single
10428,Nano,Dual
10412,Nano,Single
10412,Nano,Dual
10148,Nano,Dual
10261,Nano,Dual
10261,eSIM,Dual
10355,Nano,Dual
10355,eSIM,Dual
10338,Nano,Dual
10338,eSIM,Dual
10333,Nano,Single
10333,Nano,Dual
10335,Nano,Dual
10316,Nano,Single
10316,Nano,Dual
10314,Nano,Single
10314,Nano,Dual
10216,Nano,Dual
10239,Nano,Single
10239,Nano,Dual
